Libro,Capitulo,Versiculo,Texto
Génesis,1,1,En el principio creó Dios los cielos y la tierra.
Génesis,1,2,Y la tierra estaba desordenada y vacía y las tinieblas estaban sobre la faz del abismo y el Espíritu de Dios se movía sobre la faz de las aguas.
Salmos,23,1,Jehová es mi pastor; nada me faltará.
Salmos,23,2,En lugares de delicados pastos me hará descansar; Junto a aguas de reposo me pastoreará.
Mateo,11,28,Venid a mí todos los que estáis trabajados y cargados y yo os haré descansar.
Juan,11,35,Jesús lloró.
Isaías,41,10,No temas porque yo estoy contigo; no desmayes porque yo soy tu Dios que te esfuerzo.
Filipenses,4,6,Por nada estéis afanosos sino sean conocidas vuestras peticiones delante de Dios en toda oración y ruego con acción de gracias.
Filipenses,4,7,Y la paz de Dios que sobrepasa todo entendimiento guardará vuestros corazones y vuestros pensamientos.
Proverbios,3,5,Fíate de Jehová de todo tu corazón y no te apoyes en tu propia prudencia.
Josué,1,9,Mira que te mando que te esfuerces y seas valiente; no temas ni desmayes porque Jehová tu Dios estará contigo.
Salmos,46,1,Dios es nuestro amparo y fortaleza nuestro pronto auxilio en las tribulaciones.
Romanos,8,28,Y sabemos que a los que aman a Dios todas las cosas les ayudan a bien.
1 Pedro,5,7,Echando toda vuestra ansiedad sobre él porque él tiene cuidado de vosotros.
Mateo,6,34,Así que no os afanéis por el día de mañana porque el día de mañana traerá su afán. Basta a cada día su propio mal.
Jeremías,29,11,Porque yo sé los pensamientos que tengo acerca de vosotros dice Jehová pensamientos de paz y no de mal para daros el fin que esperáis.
Isaías,40,31,Pero los que esperan a Jehová tendrán nuevas fuerzas; levantarán alas como las águilas; correrán y no se cansarán; caminarán y no se fatigarán.
Jeremías,33,3,Clama a mí y yo te responderé y te enseñaré cosas grandes y ocultas que tú no conoces.
Filipenses,4,19,Mi Dios pues suplirá todo lo que os falta conforme a sus riquezas en gloria en Cristo Jesús.
Juan,14,27,La paz os dejo mi paz os doy; yo no os la doy como el mundo la da. No se turbe vuestro corazón ni tenga miedo.
Romanos,8,37,Antes en todas estas cosas somos más que vencedores por medio de aquel que nos amó.
Hebreos,13,5,Sean vuestras costumbres sin avaricia contentos con lo que tenéis ahora; porque él dijo: No te desampararé ni te dejaré.
Santiago,1,5,Y si alguno de vosotros tiene falta de sabiduría pídala a Dios el cual da a todos abundantemente y sin reproche y le será dada.
Salmos,91,1,El que habita al abrigo del Altísimo morará bajo la sombra del Omnipotente.
Salmos,37,4,Deléitate asimismo en Jehová y él te concederá las peticiones de tu corazón.
Mateo,28,20,Enseñándoles que guarden todas las cosas que os he mandado; y he aquí yo estoy con vosotros todos los días hasta el fin del mundo. Amén.
2 Corintios,1,20,Porque todas las promesas de Dios son en él Sí y en él Amén por medio de nosotros para la gloria de Dios.
Isaías,54,17,Ninguna arma forjada contra ti prosperará y condenarás toda lengua que se levante contra ti en juicio.
Lamentaciones,3,22,Por la misericordia de Jehová no hemos sido consumidos porque nunca decayeron sus misericordias.
Lamentaciones,3,23,Nuevas son cada mañana; grande es tu fidelidad.
1 Juan,1,9,Si confesamos nuestros pecados él es fiel y justo para perdonar nuestros pecados y limpiarnos de toda maldad.